tanggal,phrase,frekuensi
2026-01-25,antek asing,210
2026-01-25,musuh bersama,19
2026-01-25,omon omon,17
2026-01-25,antek aseng,14
2026-01-25,luar negeri,14
2026-01-25,rakyat indonesia,12
2026-01-25,negara asing,11
2026-01-25,propaganda asing,11
2026-01-25,antek antek,11
2026-01-25,asing antek,10
2026-01-25,orde baru,8
2026-01-25,prabowo tni,7
2026-01-25,antekantek asing,6
2026-01-25,narasi antek,6
2026-01-25,menciptakan musuh,6
2026-01-25,bilang antek,5
2026-01-25,bocor alus,5
2026-01-25,asing musuh,5
2026-01-25,teriak antek,5
2026-01-25,presiden prabowo,4
2026-01-25,negara maju,4
2026-01-25,anti antek,4
2026-01-25,was was,4
2026-01-25,propaganda antek,4
2026-01-25,rezim prabowo,4
2026-01-25,asing padahal,4
2026-01-25,salah satu,4
2026-01-25,asing orang,4
2026-01-25,prabowo antek,4
2026-01-25,ant tech,4
2026-01-25,teriak asing,4
2026-01-25,kemiskinan kebodohan,4
2026-01-25,ontak antek,4
2026-01-25,rakyat kecil,3
2026-01-25,asing pejabat,3
2026-01-25,antek mulyono,3
2026-01-25,mensejahterakan rakyat,3
2026-01-25,negara sendiri,3
2026-01-25,tempo antek,3
2026-01-25,menurut keyakinan,3
2026-01-25,amerika israel,3
2026-01-25,kebijakan pemerintah,3
2026-01-25,ancaman asing,3
2026-01-25,lawan politik,3
2026-01-25,prabowo subianto,3
2026-01-25,presiden indonesia,3
2026-01-25,padahal antek,3
2026-01-25,antek asingnya,3
2026-01-25,ngomong antek,3
2026-01-25,asing wowo,3
2026-01-26,antek asing,62
2026-01-26,omon omon,6
2026-01-26,propaganda asing,6
2026-01-26,disinformasi propaganda,5
2026-01-26,rakyat indonesia,4
2026-01-26,tempo antek,3
2026-01-26,narasi antek,3
2026-01-26,asing padahal,3
2026-01-26,nkri mengkaji,3
2026-01-26,mengkaji mendalami,3
2026-01-26,mendalami ttg,3
2026-01-26,ttg undang,3
2026-01-26,undang disinformasi,3
2026-01-26,asing nkri,3
2026-01-26,nkri info,3
2026-01-26,info jelas,3
2026-01-26,jelas diduga,3
2026-01-26,diduga cenderung,3
2026-01-26,cenderung mendiskreditkan,3
2026-01-26,mendiskreditkan menyudutkan,3
2026-01-26,menyudutkan dll,3
2026-01-26,dll terhadap,3
2026-01-26,terhadap negara,3
2026-01-26,asing asing,3
2026-01-26,kepala negara,2
2026-01-26,asing memecah,2
2026-01-26,memecah belah,2
2026-01-26,belah rakyat,2
2026-01-26,indonesia propaganda,2
2026-01-26,propaganda berdalih,2
2026-01-26,berdalih kritis,2
2026-01-26,antek asingnya,2
2026-01-26,keluar negri,2
2026-01-26,selalu menyalahkan,2
2026-01-26,menyalahkan antek,2
2026-01-26,ngomong antek,2
2026-01-26,orde baru,2
2026-01-26,salah satu,2
2026-01-26,paradok indonesia,2
2026-01-26,asing sendiri,2
2026-01-26,asing teriak,2
2026-01-26,asing antek,2
2026-01-26,kesejahteraan rakyat,2
2026-01-26,luar negeri,2
2026-01-26,bilang antek,2
2026-01-26,donald trump,2
2026-01-26,selalu bilang,2
2026-01-26,asing negara,2
2026-01-26,presiden omon,2
2026-01-26,salam waras,2
2026-01-27,antek asing,26
2026-01-27,media antek,3
2026-01-27,antek antek,3
2026-01-27,musuh bersama,3
2026-01-27,bod boc,3
2026-01-27,tempo media,2
2026-01-27,antek aseng,2
2026-01-27,kaki tangan,2
