Phrase(tokenization);Frekuensi;sentimen
asing;598;-1
antek;551;-1
tempo;210;0
negara;173;0
rakyat;160;0
soros;144;-1
prabowo;127;0
mdif;127;0
indonesia;87;0
pemerintah;80;0
sendiri;80;0
omon;78;-1
presiden;77;0
george;74;-1
propaganda;69;-1
orang;69;0
dana;69;0
musuh;66;-1
cek;66;0
zionis;64;-1
yahudi;64;-1
aliran;63;0
milik;63;0
sepak;63;0
motif;63;0
berinvestasi;62;1
mau;61;0
terjangnya;61;0
media;60;0
geoge;58;-1
baru;54;0
trump;53;-1
negeri;48;0
semua;43;0
wowo;39;-1
pejabat;38;0
sekarang;37;0
dulu;37;0
aseng;37;-1
rezim;36;0
luar;36;0
bersama;35;0
lah;34;0
padahal;34;0
kritik;34;-1
malah;31;0
baik;30;1
selalu;30;0
politik;28;0
bangsa;28;0
bilang;28;0
amerika;28;-1
narasi;27;0
hidup;27;0
teriak;27;-1
bahas;26;0
perang;26;-1
jokowi;26;0
menjadi;26;0
jangan;23;-1
sosial;23;0
satu;22;0
paham;22;1
jelas;21;1
kepentingan;21;0
salah;21;-1
terus;21;0
lama;20;-1
anti;20;-1
sampai;20;0
dunia;20;0
koruptor;20;-1
ngak;20;-1
pemimpin;19;0
semakin;19;0
berkuasa;18;0
korupsi;18;-1
jaman;18;0
orba;18;-1
percaya;17;1
israel;17;-1
iran;17;-1
berani;17;1
masyarakat;16;0
suka;16;1
semoga;16;1
donald;16;-1
kabur;16;-1
kebangetan;16;-1
bayar;15;0
tinggi;15;0
takut;15;-1
masuk;15;0
tahun;15;0
kekuasaan;15;0
ngomong;15;0
kritis;15;1
pemerintahan;15;0
pki;15;-1
wajar;15;0
terjadi;14;0
dilakukan;14;0
nkri;14;1
gitu;14;0
ingin;14;0
kalian;14;0
maling;14;-1
mantap;14;1
coba;14;0
indo;14;0
diri;13;0
kebijakan;13;0
wapres;13;0
menurut;13;0
anak;13;0
kata;13;0
hukum;13;0
ekonomi;13;0
korup;13;-1
maju;13;1
tni;13;0
board;13;0
peace;13;1
menggunakan;13;0
berarti;13;0
era;13;0
mulyono;13;-1
lupa;12;0
gabung;12;0
besar;12;0
rakyatnya;12;0
berita;12;0
kembali;12;0
secara;12;0
menciptakan;12;0
alat;12;0
dll;12;0
pikun;11;-1
agen;11;0
anteknya;11;-1
undang;11;0
otoriter;11;-1
masalah;11;-1
penguasa;11;0
beliau;11;0
tanpa;11;-1
kaya;11;1
setuju;11;1
kau;11;0
orde;11;-1
china;11;-1
disaat;11;0
harga;10;0
ketika;10;0
bermain;10;0
warga;10;0
mata;10;0
pendapat;10;0
lalu;10;0
buzzer;10;-1
cari;10;0
tiba;10;0
keluarga;10;0
ancaman;10;-1
geopolitik;10;0
nasionalisme;10;1
istilah;10;0
waduh;10;-1
negri;10;0
terhadap;10;0
tingkat;10;0
nda;10;0
waktu;10;0
inilah;9;0
kasih;9;1
membungkam;9;-1
kebebasan;9;1
karna;9;0
kasus;9;-1
dua;9;0
tiap;9;0
aman;9;1
parah;9;-1
ant;9;-1
disinformasi;9;-1
konflik;9;-1
oligarki;9;-1
termasuk;9;0
ngga;9;-1
konoha;9;-1
mulai;9;0
partai;9;0
berbahaya;9;-1
jalan;9;0
bahaya;9;-1
bocor;9;-1
bapak;9;0
was;9;0
donkk;9;0
merapat;9;0
memusuhi;9;-1
ragu;9;-1
tersebut;9;0
makan;8;0
sejak;8;0
tangan;8;0
gimana;8;0
sesungguhnya;8;0
data;8;0
belum;8;-1
boleh;8;1
naik;8;0
iya;8;1
seorang;8;0
gini;8;0
pake;8;0
penjilat;8;-1
uang;8;0
bahkan;8;0
semuanya;8;0
alias;8;0
demo;8;-1
hancur;8;-1
merdeka;8;1
terlalu;8;0
tetap;8;0
asingnya;8;-1
supaya;8;0
kedaulatan;8;1
kecil;8;0
label;8;0
serta;8;0
melalui;8;0
kuat;8;1
the;8;0
melawan;8;1
pidato;8;0
hati;8;1
kerja;8;1
dianggap;8;0
hari;8;0
antekantek;8;-1
lembaga;8;0
podcast;8;0
selamat;8;1
hybrid;8;0
crypto;8;0
drone;8;0
rare;8;0
earth;8;0
tarih;8;0
buang;8;-1
hape;8;0
duit;8;0
bagus;7;1
situasi;7;0
melakukan;7;0
merusak;7;-1
pejabatnya;7;0
ketemu;7;0
demokrasi;7;1
informasi;7;1
bergabung;7;0
kosong;7;-1
merasa;7;0
ngasih;7;0
sadar;7;1
suatu;7;0
kelompok;7;0
hrs;7;0
terbukti;7;1
jabatan;7;0
macam;7;0
sebut;7;0
tambah;7;0
terbaik;7;1
strategi;7;0
join;7;0
lihat;7;0
malu;7;-1
isu;7;-1
setiap;7;0
atas;7;0
apapun;7;0
cina;7;-1
bicara;7;0
solo;7;-1
akun;7;0
kabinet;7;0
sepertinya;7;0
melainkan;7;0
melindungi;7;0
dirinya;7;0
kambing;7;0
with;7;0
biasa;7;0
pdip;7;0
penting;7;0
aneh;7;-1
jauh;7;0
