tanggal,phrase,frekuensi
2026-01-25,asing,312
2026-01-25,antek,296
2026-01-25,negara,95
2026-01-25,rakyat,88
2026-01-25,prabowo,68
2026-01-25,indonesia,51
2026-01-25,sendiri,47
2026-01-25,omon,47
2026-01-25,pemerintah,42
2026-01-25,musuh,38
2026-01-25,tempo,35
2026-01-25,propaganda,34
2026-01-25,orang,34
2026-01-25,presiden,33
2026-01-25,wowo,31
2026-01-25,baru,28
2026-01-25,rezim,27
2026-01-25,semua,26
2026-01-25,negeri,26
2026-01-25,aseng,25
2026-01-25,pejabat,23
2026-01-25,trump,23
2026-01-25,bersama,22
2026-01-25,padahal,21
2026-01-25,kritik,21
2026-01-25,malah,19
2026-01-25,mau,19
2026-01-25,selalu,18
2026-01-25,dulu,18
2026-01-25,jokowi,18
2026-01-25,luar,18
2026-01-25,bangsa,17
2026-01-25,media,16
2026-01-25,semakin,16
2026-01-25,politik,16
2026-01-25,teriak,16
2026-01-25,koruptor,16
2026-01-25,terus,15
2026-01-25,sekarang,15
2026-01-25,jangan,15
2026-01-25,sampai,14
2026-01-25,narasi,14
2026-01-25,menjadi,14
2026-01-25,amerika,13
2026-01-25,anti,13
2026-01-25,iran,13
2026-01-25,bilang,12
2026-01-25,kepentingan,12
2026-01-25,hidup,12
2026-01-25,pki,12
2026-01-26,asing,97
2026-01-26,antek,80
2026-01-26,rakyat,41
2026-01-26,prabowo,27
2026-01-26,negara,25
2026-01-26,presiden,19
2026-01-26,tempo,18
2026-01-26,indonesia,16
2026-01-26,omon,16
2026-01-26,pemerintah,15
2026-01-26,sendiri,15
2026-01-26,propaganda,13
2026-01-26,negeri,11
2026-01-26,orang,10
2026-01-26,selalu,9
2026-01-26,mau,9
2026-01-26,dulu,8
2026-01-26,hidup,8
2026-01-26,pejabat,8
2026-01-26,semua,8
2026-01-26,baru,7
2026-01-26,sekarang,7
2026-01-26,baik,6
2026-01-26,bego,6
2026-01-26,padahal,6
2026-01-26,nkri,6
2026-01-26,jangan,6
2026-01-26,indo,6
2026-01-26,trump,5
2026-01-26,jokowi,5
2026-01-26,percaya,5
2026-01-26,disinformasi,5
2026-01-26,terlalu,5
2026-01-26,tua,5
2026-01-26,satu,5
2026-01-26,jelas,5
2026-01-26,dll,5
2026-01-26,dng,5
2026-01-26,bayar,5
2026-01-26,jaman,4
2026-01-26,luar,4
2026-01-26,ngeri,4
2026-01-26,berubah,4
2026-01-26,musuh,4
2026-01-26,menjadi,4
2026-01-26,waras,4
2026-01-26,hati,4
2026-01-26,lah,4
2026-01-26,jauh,4
2026-01-26,ngk,4
2026-01-27,antek,44
2026-01-27,asing,37
2026-01-27,tempo,11
2026-01-27,mau,11
2026-01-27,musuh,10
2026-01-27,media,9
2026-01-27,prabowo,8
2026-01-27,negara,8
2026-01-27,sendiri,7
2026-01-27,lah,6
2026-01-27,trump,5
2026-01-27,aseng,5
2026-01-27,semua,5
2026-01-27,rakyat,5
2026-01-27,teriak,5
2026-01-27,baru,5
2026-01-27,orang,4
2026-01-27,presiden,4
2026-01-27,pemerintah,4
2026-01-27,menjadi,4
2026-01-27,anti,4
2026-01-27,kritik,4
2026-01-27,bersama,4
2026-01-27,mata,4
2026-01-27,cek,4
2026-01-27,pemerintahan,3
2026-01-27,tangan,3
2026-01-27,dulu,3
2026-01-27,orba,3
2026-01-27,besar,3
2026-01-27,narasi,3
2026-01-27,pemimpin,3
2026-01-27,soros,3
2026-01-27,gabung,3
2026-01-27,propaganda,3
2026-01-27,amerika,3
2026-01-27,kuat,3
2026-01-27,bod,3
2026-01-27,boc,3
2026-01-27,luar,3
2026-01-27,label,3
2026-01-27,salah,3
